followers,n
25094217,104
25106989,23
25164296,13
25252715,16
25266856,14
25316039,14
25316169,11
25331817,12
25409880,10
25470790,19
25489768,175
25500692,13
25584960,11
25589317,14
25596399,11
25652912,51
25656511,36
25712893,12
25720747,38
25803786,13
25836285,10
25841683,28
25876497,58
25983659,13
26000828,28
26006437,32
26031424,24
26032005,12
26052049,10
26102168,19
26108479,11
26138349,41
26200656,26
26207020,18
26210155,21
26217286,18
26238733,11
26250653,297
26307983,12
26313006,64
26313016,13
26317607,19
26320922,11
26323637,26
26376718,11
26399033,15
26463111,27
26483739,38
26523021,13
26547012,57
26553170,185
26571816,68
26583878,20
26602029,12
26690376,36
26703571,12
26711267,43
26717286,16
26740122,26
26747983,25
26756763,18
26779646,10
26835989,10
26865539,16
26899748,76
26969441,60
26973154,13
26974829,15
27022640,16
27027109,20
27211710,11
27218612,33
27225726,30
27226087,52
27232913,10
27285937,11
27340777,15
27375406,12
27404472,11
27405083,16
27427813,11
27446305,13
27522014,92
27526242,15
27575868,43
27597371,48
27602308,13
27645641,26
27666500,25
27677675,11
27679496,15
27685390,13
27695747,12
27697380,13
27726341,91
27797493,33
27803009,13
27825501,16
27846019,24
27848390,42
27848884,43
27952706,11
28086572,31
28184332,19
28186181,22
28200407,81
28205604,10
28214411,38
28300705,28
28305535,132
28331900,12
28335350,89
28346746,15
28404803,22
28496734,16
28515242,11
28524420,52
28535491,19
28537555,11
28762327,12
28779188,15
28788938,15
28792736,30
28816518,14
28829679,10
28861332,14
28901037,10
28921525,70
28950803,13
28962439,16
28964962,19
28967411,41
28971185,24
28971254,11
28974003,12
29000236,13
29009466,33
29013489,26
29054592,15
29060268,12
29063443,23
29063923,99
29067114,46
29071931,28
29078031,11
29111281,33
29154791,10
29172466,12
29176652,15
29176702,84
29189930,11
29194873,10
29240209,21
29241269,17
29250328,10
29279887,10
29303096,46
29322770,11
29395068,23
29405942,14
29408092,22
29409478,13
29416305,12
29427144,11
29445147,10
29447272,25
29462867,11
29470427,36
29492726,13
29492804,21
29508165,109
29510241,21
29538923,53
29565306,51
29618015,13
29649886,15
29663382,82
29688315,22
29698395,20
29703353,34
29713249,13
29721046,23
29732983,45
29739041,111
29740562,25
29753762,22
29761253,48
29811188,14
29834775,63
29844653,15
29856256,26
29934861,32
29947354,18
29955464,15
29956249,123
29956924,14
30010590,148
30017957,13
30031438,27
30071147,10
30086782,12
30179748,33
30190217,16
30216608,112
30218649,33
30223720,49
30224322,11
30225760,30
30228832,55
30248320,15
30249651,85
30285500,32
30316793,10
30405782,10
30416799,61
30431165,35
30432147,14
30435694,13
30447525,12
30457809,17
30459082,31
30475200,24
30482372,57
30483876,16
30502925,22
30552705,12
30635526,24
30645886,16
30645943,50
30700403,161
30700965,20
30715848,12
30739900,12
30751598,28
30848170,29
30889616,11
30890096,17
30903480,122
30915148,10
30917794,14
30943589,49
30948190,15
30986594,77
31078051,103
31081499,20
31096453,10
31099936,12
31107180,16
31112172,23
31121778,12
31159552,33
31211949,14
31236747,13
31354473,40
31371175,13
31382715,12
31407027,43
31424130,17
31697419,13
31716693,17
31727982,11
31734745,111
31738452,28
31794857,14
31849817,10
31928670,13
32070881,19
32101997,11
32273235,14
32273956,10
32325385,18
32329783,10
32344082,13
32356185,10
32384702,11
32409886,19
32411180,11
32413799,19
32425301,14
32437866,50
32463502,10
32469366,37
32522553,12
32526856,19
32538816,10
32563912,93
32566527,12
32594539,12
32675456,13
32765870,13
32780340,73
32815358,14
32830244,14
32884537,13
32895217,58
32907759,23
32916973,27
32953696,31
32967981,13
32996382,53
33001009,11
33045828,14
33080295,26
33166960,14
33176330,27
33198229,12
33203492,18
33216316,25
33219078,31
33299049,19
33404736,122
33420559,46
33443303,13
33445962,16
33461171,14
33498479,23
33513785,39
33526672,26
33529175,26
33535716,21
33629013,10
33641804,17
33667403,16
33672177,36
33672437,14
33685533,32
33704399,16
33840986,19
33871777,14
33885102,15
33939265,12
33950933,20
33962372,27
33965478,43
33970852,10
34014616,99
34219921,14
34225599,37
34228113,10
34263609,35
34263879,10
34342523,11
34352111,12
34370034,11
34384273,15
34553938,19
34563145,33
34563258,18
34568151,11
34587965,23
34597393,19
34603652,16
34639856,42
34741273,11
34748565,16
34885645,13
34901389,25
34909201,16
34919618,13
34936077,35
34995607,13
34998353,44
35022597,18
35047218,135
35077120,14
35125574,16
35128746,11
35166341,11
35179636,23
35194503,18
35196040,13
35216837,16
35258653,247
35276376,26
35334172,11
35348377,21
35436101,23
35436324,78
35437531,74
35448744,78
35449383,12
35449510,59
35459663,27
35473813,12
35496879,12
35499056,26
35513050,49
35515993,16
35521057,416
35535694,87
35537436,67
35690983,16
35694997,102
35696732,27
35699290,14
35712322,422
35717480,28
35724790,38
35734936,22
35738306,16
35775188,21
35781899,14
35792246,41
35802298,15
35804210,47
35847376,23
35848874,17
35877137,11
35884381,10
35938878,43
35998766,11
36016075,10
36017123,20
36027828,35
36027858,11
36033351,14
36034729,25
36050168,33
36052300,13
36071068,11
36098959,24
36116384,19
36129183,34
36138805,93
36149045,18
36191393,33
36234737,12
36293076,13
36315808,102
36324206,10
36325548,23
36346293,42
36349838,68
36359038,50
36362361,10
36364180,11
36399190,10
36507013,37
36513293,22
36632956,25
36659066,15
36659892,12
36712691,65
36765161,23
36833526,10
36888338,35
36905866,10
36913778,89
36924777,43
37001831,76
37014122,13
37031427,12
37053234,18
37162329,20
37180053,25
37187844,33
37205214,35
37233047,67
37284970,39
37292264,11
37332130,12
37390030,36
37402508,34
37408195,105
37409826,17
37417180,31
37419417,40
37479637,11
37480132,14
37493080,21
37508764,10
37587198,10
37613703,10
37622695,32
37629416,10
37635326,15
37639224,10
37641198,28
37641341,11
37641443,20
37642232,13
37646413,24
37656204,16
37657599,20
37700857,17
37769364,14
37824228,17
37890695,11
37898569,11
37898630,15
37909498,21
38000462,14
38005919,14
38019767,11
38021678,28
38093174,17
38110090,14
38140202,17
38141884,18
38142448,23
38142665,12
38143667,33
38145350,32
38149070,70
38170599,18
38174704,11
38176753,77
38182242,21
38270230,18
38300047,21
38377841,15
38383339,10
38389757,11
38390598,52
38395124,23
38402979,220
38404194,11
38405003,31
38406287,16
38416116,11
38420163,18
38422622,25
38486202,11
38486387,16
38487390,39
38489301,28
38494610,12
38498564,10
38513988,15
38532380,33
38574681,18
38582753,23
38614682,18
38624774,11
38638005,45
38639911,62
38646428,10
38655027,18
38667715,10
38676550,43
38700217,11
38748634,12
38814617,19
38822553,15
38823752,25
38823811,11
38828904,74
38829356,10
38842192,15
38888509,19
38896959,10
38921675,44
38947702,16
39042047,38
39068709,125
39080624,42
39093474,11
39217804,22
39230540,13
39236585,15
39247942,26
39281207,12
39309887,15
39391675,16
39448019,10
39476347,15
39476887,28
39498918,11
39502161,10
39532581,36
39549964,10
39554190,32
39607614,14
39610807,13
39683821,10
39721540,11
39722744,43
39726513,12
39727403,20
39757630,10
39775924,11
39782333,21
39786802,13
39805001,26
39816407,11
39868191,61
39957554,10
39973535,13
40007789,16
40028737,70
40047001,34
40084936,16
40143324,35
40193166,30
40194332,60
40197991,10
40198764,10
40208602,10
40211634,13
40225972,18
40236698,11
40239780,25
40268056,55
40273266,11
40301992,48
40313819,10
40323342,16
40398296,35
40427956,59
40434581,78
40441083,14
40454209,19
40470262,12
40492483,62
40559699,13
40586891,10
40629518,42
40637152,14
40644765,18
40673381,28
40683531,18
40683878,10
40689205,68
40710421,11
40717037,11
40732750,16
40737175,16
40740831,83
40745776,20
40751494,83
40812719,11
40831102,12
40842078,21
40845629,10
40851887,23
40863537,45
40875134,13
40884290,12
40903963,24
40909126,24
40929733,12
40969560,28
40986909,11
41091657,11
41093168,32
41112894,14
41134866,34
41144029,27
41146801,32
41182588,35
41208486,131
41216818,13
41258844,13
41297950,42
41337724,16
41365022,23
41382832,33
41383814,106
41399845,19
41444656,15
41476849,11
41666929,80
41674020,47
41675038,15
41679813,17
41707926,19
41772814,53
41790557,15
41800641,11
41804693,29
41805051,11
41819178,10
41861004,26
41864598,18
41878857,10
41908677,39
41911613,12
42014313,26
42014982,12
42102316,15
42184065,10
42186398,20
42196523,10
42229043,23
42238387,17
42246035,17
42268071,25
42365353,12
42368797,43
42372218,73
42417393,10
42476139,41
42485933,31
42560864,71
42572159,14
42586305,10
42589863,43
42594749,45
42625213,20
42649010,31
42658066,44
42718175,47
42723052,14
42747162,13
42847807,76
42900225,10
42918739,12
42969341,18
42990468,17
43025154,11
43073787,12
43084857,18
43095145,44
43144041,33
43221937,13
43268881,194
43279366,19
43302355,28
43303445,10
43325983,37
43329227,162
43336587,31
43354566,19
43359583,182
43393033,19
43399032,11
43409144,20
43425207,30
43460909,12
43503384,12
43515499,13
43532309,20
43591632,11
43592151,23
43613653,10
43669264,14
43705226,47
43705871,45
43716737,12
43722970,15
43848154,10
43862338,30
43880923,14
43884219,11
43887015,27
43949302,10
43966804,23
43972324,13
44052341,25
44070455,14
44079923,27
44093566,16
44095687,10
44102898,12
44136517,28
44142427,20
44167163,12
44327285,13
44328007,18
44347449,12
44358868,25
44386468,22
44399356,11
44451131,30
44498736,122
