name,id,twitter,groupe_sigle
Ludovic Haye,933,HayeLudovic,RDPI
Olivier Henno,779,OHenno,UC
Loïc Hervé,670,loichervepublic,UC
Jean Hingray,867,JeanHingray,UC
Jean-Michel Houllegatte,766,JMHoullegatte,SER
Alain Houpert,144,alainhoupert,LR
Jean-Raymond Hugonet,786,JRHugonet,LR
Jean-François Husson,344,jf_husson,LR
Xavier Iacovelli,776,iacovellixavier,RDPI
Corinne Imbert,652,imbertcorinne17,LR
Annick Jacquemet,894,JacquemetAnnick,UC
Micheline Jacques,937,micheline_jacqu,LR
Olivier Jacquin,745,Jacquin_Olivier,SER
Jean-Marie Janssens,783,JeanMarieJansse,UC
Pierre Jarlier,133,PJarlier,UDI
Victoire Jasmin,749,SenatriceJasmin,SER
Geneviève Jean,673,genevievejean84,SOC
Eric Jeansannetas,647,ejeansannetas,SER
Sophie Joissains,578,SophieJOISSAINS,UC
Patrice Joly,774,JolyPatrice,SER
Bernard Jomier,807,BernardJomier,SER
Else Joseph,885,ElseJOSEPH,LR
Chantal Jouanno,284,chantal_jouanno,UC
Gisèle Jourda,680,GiseleJourda,SER
Alain Joyandet,635,AJoyandet,LR
Philippe Kaltenbach,263,P_Kaltenbach,SOC
Patrick Kanner,743,PatrickKanner,SER
Antoine Karam,687,AKaram973,RDPI
Roger Karoutchi,584,Rkaroutchi,LR
Fabienne Keller,424,fabienne_keller,NI
Guy-Dominique Kennel,690,GuyDoKENNEL,LR
Claude Kern,665,claude_kern,UC
Éric Kerrouche,814,EricKerrouche,SER
Mikaele Kulimoetoke,870,mikakulimoetoke,RDPI
Georges Labazée,452,GLabazee_senat,SOC
Joël Labbé,489,JLabbeSenat,EST
Françoise Laborde,395,Laborde_Senat,RDSE
Laurent Lafon,754,L_Lafon,UC
Jean-Louis Lagourgue,805,JLLagourgue,RTLI
Gérard Lahellec,874,LahellecG,CRCE
Bernard Lalande,684,LalandeBernard,SOC
Élisabeth Lamure,225,LamureE,LR
Gérard Larcher,432,gerard_larcher,LR
Florence Lassarade,732,flolassarade,LR
Michel Laugier,799,LaugierMichel,UC
Pierre Laurent,595,plaurent_pcf,CRCE
Christine Lavarde,806,LavardeC,LR
Ronan Le Gleut,760,ronan_legleut,LR
Annie Le Houerou,869,LeHouerouA,SER
Jacques Le Nay,784,JacquesLeNay,UC
Stéphane Le Rudulier,918,slerudulier,LR
Jean-Yves Leconte,482,JYLeconte,SER
Antoine Lefèvre,70,AntoineLAON,LR
Dominique de Legge,220,Domdelegge,LR
Jean-Pierre Leleux,498,jpleleux,LR
Jean-Baptiste Lemoyne,638,JBLemoyne,RDPI
Claudine Lepage,475,claudinelepage,SER
Henri Leroy,729,hleroymandelieu,LR
Pierre-Antoine Levi,914,PALevisenat,UC
Marie-Noëlle Lienemann,443,mnlienemann,CRCE
Anne-Catherine Loisier,685,ac_loisier,UC
Jean-François Longeot,662,jf_longeot,UC
Gérard Longuet,256,gerardlonguet55,LR
Pierre Louault,742,PLouault,UC
Jean-Jacques Lozach,299,SenateurLozach,SER
Victorin Lurel,773,VictorinLurel,SER
Olivier Léonhardt,829,larselans,RDSE
Valérie Létard,500,valerieletard,UC
Martin Lévrier,800,LevrierMartin,RDPI
Roger Madec,532,rogermadec,SOC
Philippe Madrelle,359,philmadrelle,SOC
Jacques-Bernard Magner,341,JBMagner,SER
Michel Magras,52,MichelMagras,LR
Claude Malhuret,674,ClaudeMalhuret,RTLI
Didier Mandelli,671,DidierMandelli,LR
François Marc,204,FMARC_Senat,SOC
Frédéric Marchand,795,FMsenateur59,RDPI
Didier Marie,600,Didier_Marie76,SER
Philippe Marini,357,Philippe_Marini,UMP
Hervé Marseille,27,hervemarseille,UC
Pascal Martin,850,Pasc_Martin,UC
Jean-Pierre Masseret,255,jpmasseret,RDPI
Hervé Maurey,425,HMaurey,UC
Rachel Mazuir,477,rachelmazuirse1,SOC
Franck Menonville,765,F_Menonville,RTLI
Marie Mercier,706,mmerciersenat,LR
Serge Merillou,908,MerillouSerge,SER
Michelle Meunier,53,meuniermichelle,SER
Sébastien Meurant,736,SmeurantL,LR
Brigitte Micouleau,611,bmicouleau,LR
Alain Milon,568,SenateurMilon,LR
Jean-Marie Mizzon,738,MIZZONJeanMari1,UC
Franck Montaugé,663,FranckMontauge,SER
Albéric de Montgolfier,354,aldemontgolfier,LR
Patricia Morhet-Richaud,698,MorhetRichaud,LR
Catherine Morin-Desailly,14,C_MorinDesailly,UC
Philippe Mouiller,661,Mouiller_P,LR
Pierre Médevielle,645,p_medevielle,RTLI
Colette Mélot,530,colettemelot,RTLI
Jacques Mézard,340,MezardJacques,RDSE
Sylviane Noël,844,noel_sylviane,LR
Alain Néri,535,alainneri,SOC
Pierre Ouzoulias,748,OuzouliasP,CRCE
Olivier Paccaud,812,olivierpaccaud,LR
Vanina Paoli-Gagin,879,GaginPaoli,RTLI
Georges Patient,36,GeorgesPatient,RDPI
François Patriat,554,f_patriat,RDPI
Cyril Pellevat,669,CyrilPellevat,LR
Philippe Pemezec,834,PhilippePemezec,LR
Daniel Percheron,139,DanielPercheron,SOC
Marie-Françoise Perol-Dumont,678,mfperoldumont87,SOC
Cédric Perrin,686,cperrin90,LR
Annick Petrus,913,AnnickPetrus,LR
Stéphane Piednoir,791,StephPiednoir,LR
Jackie Pierre,189,pierre_jackie,LR
Sebastien Pla,876,sebastienpla,SER
Jean-Vincent Placé,548,JVPlace,SOC
Jean-Pierre Plancade,64,#!/JPPlancade,RDSE
Rémy Pointereau,473,remypointereau,LR
Yves Pozzo di Borgo,512,YvesPDB,UC
Sophie Primas,4,sophieprimas,LR
Jean-Paul Prince,835,JP_Prince_41,UC
Catherine Procaccia,224,CProcaccia,LR
Angèle Préville,755,AngelePreville,SER
Frédérique Puissat,798,FPuissat,LR
David Rachline,639,david_rachline,NI
Jean-Pierre Raffarin,126,jpraffarin,LR
Henri de Raincourt,493,HdeRaincourt,LR
Michel Raison,644,michel_raison,LR
Didier Rambaud,778,didier_rambaud,RDPI
Stéphane Ravier,682,Stephane_Ravier,NI
Claude Raynal,653,clauderaynal,SER
Christian Redon-Sarrazy,866,C_REDON_SARRAZY,SER
Damien Regnard,843,damienregnard,LR
André Reichardt,515,andre_reichardt,LR
Évelyne Renaud-Garabedian,740,e_renaud_G,LR
Jean-Claude Requier,176,RequierC,RDSE
Bruno Retailleau,479,brunoretailleau,LR
Marie-Pierre Richer,847,MpRicher,LR
Roland Ries,511,Roland_Ries,SOC
Stéphanie Riocreux,701,StephRiocreux37,RDPI
Sylvie Robert,634,Sy_robert,SER
Gilbert Roger,181,gilbertroger_93,SER
Teva Rohfritsch,909,RohfritschTeva,RDPI
Yves Rome,541,yvesrome,RDPI
Laurence Rossignol,375,laurossignol,SER
Jean-Yves Roux,624,rouxjy,RDSE
Denise Saint-Pé,827,DeniseSaintPe,UC
Daniel Salmon,929,Senateur_Salmon,EST
Hugues Saury,771,HSaury,LR
Stéphane Sautarel,911,SautarelS,LR
René-Paul Savary,536,renepaulsavary,LR
Michel Savin,553,michelsavin38,LR
Pascal Savoldelli,818,PSavoldelli94,CRCE
Elsa Schalck,925,ElsaSchalck,LR
Patricia Schillinger,39,PSchillinger68,RDPI
Vincent Segouin,841,SegouinV,LR
Bruno Sido,186,bruno_sido,LR
Jean Sol,808,JeanSOL__,LR
Nadia Sollogoub,828,SollogoubN,UC
Laurent Somon,939,Laurent_Somon,LR
Lucien Stanzione,890,stanzionelucien,SER
Jean-Pierre Sueur,428,JP_Sueur,SER
Simon Sutour,352,sutour,SOC
Philippe Tabarot,916,PhilippeTabarot,LR
Sophie Taillé-Polian,822,STaillePolian,EST
Catherine Tasca,581,CatherineTasca,SOC
Rachid Temal,832,RachidTemal,SER
Lana Tetuanui,703,LanaTetuanui,UC
Claudine Thomas,741,SenatriceThomas,LR
Dominique Théophile,789,SenateurDTheoph,RDPI
Jean-Claude Tissot,826,jctissot42,SER
Jean-Marc Todeschini,345,JM_Todeschini,SER
Jean-Louis Tourenne,656,jeanlouistouren,SOC
André Trillard,559,Andretrillard,LR
Catherine Troendle,132,C_Troendle,LR
Raymond Vall,246,RaymondVall,RDSE
Mickaël Vallet,883,mickaelvallet,SER
André Vallini,400,VALLINIAndre,SER
Sabine Van Heghe,747,VanHegheSabine,SER
Jean-Marie Vanlerenberghe,116,JVanlerenberghe,UC
Marie-Claude Varaillas,868,MVaraillas,CRCE
Michel Vaspart,659,MichelVASPART,LR
Alain Vasselle,467,AlainVasselle,LR
Yannick Vaugrenard,270,YVaugrenard,SER
Sylvie Vermeillet,797,S_Vermeillet,UC
Pierre-Jean Verzelen,919,pjverzelen,RTLI
Cédric Vial,873,cedricvial,LR
Maurice Vincent,19,mauricevincent_,RDPI
Dominique Vérien,838,verienparent,UC
Dany Wattebled,790,DanyWattebled,RTLI
Evelyne Yonnet,700,eyonnetSenat,SOC
Richard Yung,370,SenateurRYung,RDPI
François Zocchetto,105,fzocchetto,UC
Marta de Cidrac,777,http://www.nossenateurs.fr/marta-de-cidrac/csv,LR
Sonia de La Provôté,727,SoniadlpCaen,UC
Monique de Marco,892,moniquedemarco,EST
Robert del Picchia,38,robertdelpicchi,LR
Anne Émery-Dumas,596,anneEmeryDumas,RDPI
Damien Abad,32,damienabad,LR
